space, pressure
0.163771, 992005
0.163861, 991993
0.163951, 991980
0.164041, 991967
0.164131, 991955
0.164221, 991942
0.164311, 991929
0.164401, 991916
0.164491, 991904
0.164581, 991891
0.164671, 991878
0.164761, 991865
0.164851, 991853
0.164941, 991840
0.165032, 991827
0.165122, 991814
0.165212, 991802
0.165302, 991789
0.165392, 991776
0.165482, 991763
0.165572, 991750
0.165662, 991737
0.165752, 991725
0.165842, 991712
0.165932, 991699
0.166022, 991686
0.166112, 991673
0.166202, 991660
0.166292, 991647
0.166382, 991634
0.166472, 991621
0.166562, 991608
0.166652, 991595
0.166742, 991582
0.166832, 991569
0.166922, 991556
0.167012, 991543
0.167102, 991530
0.167192, 991517
0.167282, 991504
0.167372, 991491
0.167462, 991478
0.167552, 991465
0.167642, 991452
0.167732, 991439
0.167822, 991426
0.167912, 991413
0.168002, 991400
0.168092, 991387
0.168182, 991374
0.168272, 991360
0.168362, 991347
0.168452, 991334
0.168542, 991321
0.168632, 991308
0.168722, 991295
0.168812, 991281
0.168902, 991268
0.168992, 991255
0.169082, 991242
0.169172, 991228
0.169262, 991215
0.169352, 991202
0.169442, 991189
0.169532, 991175
0.169622, 991162
0.169712, 991149
0.169802, 991136
0.169892, 991122
0.169982, 991109
0.170072, 991096
0.170162, 991082
0.170252, 991069
0.170342, 991055
0.170432, 991042
0.170522, 991029
0.170612, 991015
0.170702, 991002
0.170792, 990988
0.170882, 990975
0.170972, 990962
0.171062, 990948
0.171152, 990935
0.171242, 990921
0.171332, 990908
0.171422, 990894
0.171512, 990881
0.171602, 990867
0.171692, 990854
0.171782, 990840
0.171872, 990827
0.171962, 990813
0.172052, 990800
0.172142, 990786
0.172232, 990772
0.172322, 990759
0.172412, 990745
0.172502, 990732
0.172592, 990718
0.172682, 990704
0.172772, 990691
0.172862, 990677
0.172952, 990663
0.173042, 990650
0.173132, 990636
0.173222, 990622
0.173312, 990609
0.173402, 990595
0.173492, 990581
0.173582, 990567
0.173672, 990554
0.173762, 990540
0.173852, 990526
0.173942, 990512
0.174032, 990499
0.174122, 990485
0.174212, 990471
0.174302, 990457
0.174392, 990443
0.174482, 990430
0.174572, 990416
0.174662, 990402
0.174752, 990388
0.174842, 990374
0.174932, 990360
0.175023, 990346
0.175113, 990333
0.175203, 990319
0.175293, 990305
0.175383, 990291
0.175473, 990277
0.175563, 990263
0.175653, 990249
0.175743, 990235
0.175833, 990221
0.175923, 990207
0.176013, 990193
0.176103, 990179
0.176193, 990165
0.176283, 990151
0.176373, 990137
0.176463, 990123
0.176553, 990109
0.176643, 990095
0.176733, 990081
0.176823, 990067
0.176913, 990052
0.177003, 990038
0.177093, 990024
0.177183, 990010
0.177273, 989996
0.177363, 989982
0.177453, 989968
0.177543, 989953
0.177633, 989939
0.177723, 989925
0.177813, 989911
0.177903, 989897
0.177993, 989882
0.178083, 989868
0.178173, 989854
0.178263, 989840
0.178353, 989825
0.178443, 989811
0.178533, 989797
0.178623, 989783
0.178713, 989768
0.178803, 989754
0.178893, 989740
0.178983, 989725
0.179073, 989711
0.179163, 989697
0.179253, 989682
0.179343, 989668
0.179433, 989654
0.179523, 989639
0.179613, 989625
0.179703, 989610
0.179793, 989596
0.179883, 989582
0.179973, 989567
0.180063, 989553
0.180153, 989538
0.180243, 989524
0.180333, 989509
0.180423, 989495
0.180513, 989480
0.180603, 989466
0.180693, 989451
0.180783, 989437
0.180873, 989422
0.180963, 989408
0.181053, 989393
0.181143, 989378
0.181233, 989364
0.181323, 989349
0.181413, 989335
0.181503, 989320
0.181593, 989305
0.181683, 989291
0.181773, 989276
0.181863, 989262
0.181953, 989247
0.182043, 989232
0.182133, 989218
0.182223, 989203
0.182313, 989188
0.182403, 989173
0.182493, 989159
0.182583, 989144
0.182673, 989129
0.182763, 989114
0.182853, 989100
0.182943, 989085
0.183033, 989070
0.183123, 989055
0.183213, 989041
0.183303, 989026
0.183393, 989011
0.183483, 988996
0.183573, 988981
0.183663, 988966
0.183753, 988952
0.183843, 988937
0.183933, 988922
0.184023, 988907
0.184113, 988892
0.184203, 988877
0.184293, 988862
0.184383, 988847
