space, t=0.000000, t=0.100000, t=0.200000, t=0.300000, t=0.400000, t=0.500000, t=0.600000, t=0.700000, t=0.800000, t=0.900000, 
0.0925, 1, 0.185834, 4.39624e-11, 8.71726e-28, 5.66325e-48, 3.20533e-70, 7.88589e-94, 2.08952e-118, 1.04675e-143, 1.43986e-169, 
0.0935, 1, 0.201701, 6.98701e-11, 1.85061e-27, 1.5059e-47, 1.02441e-69, 2.9439e-93, 8.92314e-118, 5.0326e-143, 7.69649e-169, 
0.0945, 1, 0.21799, 1.10248e-10, 3.8969e-27, 3.9698e-47, 3.24461e-69, 1.08887e-92, 3.77479e-117, 2.39654e-142, 4.07435e-168, 
0.0955, 1, 0.234622, 1.72727e-10, 8.14027e-27, 1.03759e-46, 1.01857e-68, 3.99082e-92, 1.58205e-116, 1.13049e-141, 2.13631e-167, 
0.0965, 1, 0.251514, 2.68723e-10, 1.68701e-26, 2.68918e-46, 3.16957e-68, 1.44953e-91, 6.56974e-116, 5.2831e-141, 1.10959e-166, 
0.0975, 1, 0.268579, 4.15191e-10, 3.46898e-26, 6.91178e-46, 9.7778e-68, 5.21814e-91, 2.70347e-115, 2.44621e-140, 5.70944e-166, 
0.0985, 1, 0.285732, 6.37136e-10, 7.07837e-26, 1.76191e-45, 2.99059e-67, 1.86198e-90, 1.10252e-114, 1.12236e-139, 2.91077e-165, 
0.0995, 1, 0.302885, 9.71174e-10, 1.43336e-25, 4.45496e-45, 9.0697e-67, 6.5864e-90, 4.45642e-114, 5.1032e-139, 1.47044e-164, 
0.1005, 1, 0.319952, 1.47056e-09, 2.88078e-25, 1.11741e-44, 2.72766e-66, 2.30982e-89, 1.78553e-113, 2.29971e-138, 7.36137e-164, 
0.1015, 1, 0.33685, 2.21222e-09, 5.74696e-25, 2.78057e-44, 8.13566e-66, 8.03175e-89, 7.092e-113, 1.02722e-137, 3.65244e-163, 
0.1025, 1, 0.3535, 3.30654e-09, 1.1381e-24, 6.86509e-44, 2.4068e-65, 2.76938e-88, 2.79277e-112, 4.54842e-137, 1.79623e-162, 
0.1035, 1, 0.369826, 4.91083e-09, 2.23755e-24, 1.68186e-43, 7.06277e-65, 9.46977e-88, 1.09045e-111, 1.99665e-136, 8.75668e-162, 
0.1045, 1, 0.38576, 7.24785e-09, 4.36774e-24, 4.0889e-43, 2.05606e-64, 3.21158e-87, 4.22206e-111, 8.69015e-136, 4.23207e-161, 
0.1055, 1, 0.401239, 1.0631e-08, 8.46582e-24, 9.86578e-43, 5.93829e-64, 1.08034e-86, 1.62117e-110, 3.75041e-135, 2.02789e-160, 
0.1065, 1, 0.416207, 1.54982e-08, 1.62947e-23, 2.36268e-42, 1.70173e-63, 3.60497e-86, 6.17382e-110, 1.60507e-134, 9.63499e-160, 
0.1075, 1, 0.430615, 2.24578e-08, 3.11476e-23, 5.61644e-42, 4.83906e-63, 1.19339e-85, 2.33207e-109, 6.81258e-134, 4.53955e-159, 
0.1085, 1, 0.444422, 3.23496e-08, 5.91343e-23, 1.32537e-41, 1.36555e-62, 3.91957e-85, 8.73834e-109, 2.86793e-133, 2.12112e-158, 
0.1095, 1, 0.457596, 4.63251e-08, 1.11513e-22, 3.10508e-41, 3.82446e-62, 1.27734e-84, 3.24827e-108, 1.19757e-132, 9.82986e-158, 
0.1105, 1, 0.470112, 6.59543e-08, 2.0889e-22, 7.22266e-41, 1.06312e-61, 4.13069e-84, 1.19797e-107, 4.96074e-132, 4.51849e-157, 
0.1115, 1, 0.481951, 9.33644e-08, 3.88731e-22, 1.6682e-40, 2.93343e-61, 1.32563e-83, 4.38377e-107, 2.03864e-131, 2.06035e-156, 
0.1125, 1, 0.493103, 1.3142e-07, 7.18706e-22, 3.8261e-40, 8.03503e-61, 4.22219e-83, 1.59181e-106, 8.31218e-131, 9.32012e-156, 
0.1135, 1, 0.503564, 1.83958e-07, 1.32025e-21, 8.71481e-40, 2.185e-60, 1.33476e-82, 5.73599e-106, 3.36284e-130, 4.18285e-155, 
0.1145, 1, 0.513337, 2.56082e-07, 2.4099e-21, 1.97144e-39, 5.89928e-60, 4.18846e-82, 2.05133e-105, 1.35004e-129, 1.86263e-154, 
0.1155, 1, 0.52243, 3.54547e-07, 4.37126e-21, 4.42961e-39, 1.58148e-59, 1.30473e-81, 7.2812e-105, 5.37864e-129, 8.23029e-154, 
0.1165, 1, 0.530857, 4.88238e-07, 7.87973e-21, 9.88632e-39, 4.20995e-59, 4.03495e-81, 2.56534e-104, 2.12673e-128, 3.60888e-153, 
0.1175, 1, 0.538636, 6.68779e-07, 1.4117e-20, 2.19191e-38, 1.11293e-58, 1.23889e-80, 8.97204e-104, 8.34638e-128, 1.57047e-152, 
0.1185, 1, 0.545788, 9.11285e-07, 2.5138e-20, 4.8279e-38, 2.92194e-58, 3.77695e-80, 3.11512e-103, 3.25134e-127, 6.78296e-152, 
0.1195, 1, 0.552339, 1.23531e-06, 4.44941e-20, 1.0565e-37, 7.61929e-58, 1.14338e-79, 1.0738e-102, 1.25729e-126, 2.90784e-151, 
0.1205, 1, 0.558317, 1.66598e-06, 7.82867e-20, 2.29716e-37, 1.97345e-57, 3.43724e-79, 3.67512e-102, 4.82668e-126, 1.23741e-150, 
0.1215, 1, 0.563752, 2.23547e-06, 1.36935e-19, 4.96304e-37, 5.07736e-57, 1.02619e-78, 1.24895e-101, 1.83963e-125, 5.22732e-150, 
0.1225, 1, 0.568674, 2.98468e-06, 2.38127e-19, 1.06554e-36, 1.2977e-56, 3.04284e-78, 4.21478e-101, 6.96158e-125, 2.19228e-149, 
0.1235, 1, 0.573116, 3.96535e-06, 4.11717e-19, 2.27341e-36, 3.29511e-56, 8.9616e-78, 1.4125e-100, 2.61585e-124, 9.12838e-149, 
0.1245, 1, 0.57711, 5.24259e-06, 7.07801e-19, 4.82068e-36, 8.31277e-56, 2.62167e-77, 4.70125e-100, 9.76051e-124, 3.77398e-148, 
0.1255, 1, 0.580689, 6.8979e-06, 1.20996e-18, 1.01597e-35, 2.08369e-55, 7.61875e-77, 1.5541e-99, 3.61672e-123, 1.54932e-147, 
0.1265, 1, 0.583885, 9.03272e-06, 2.05685e-18, 2.12828e-35, 5.18986e-55, 2.19953e-76, 5.10281e-99, 1.33096e-122, 6.31607e-147, 
